array_element_name	array_element_type	organism	is_control	locus	description	chromosome	start	stop
249957_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18900	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein	5	6304426,6304704,6304786,6304855	6304943,6305118,6305252,6305280
249958_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18970	AWPM-19-like family protein	5	6333729,6333836,6333947,6333992	6334103,6334322,6334413,6334523
249959_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18800	Cox19-like CHCH family protein	5	6267306,6267491	6268261,6268385
249960_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18830	squamosa promoter binding protein-like 7	5	6279416,6279671	6279925,6280199
249961_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18770	F-box/FBD-like domains containing protein	5	6262479,6262502,6262598	6262747,6262831,6263142
249962_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18990	Pectin lyase-like superfamily protein	5	6340697,6340866,6341201	6341201,6341614,6341614
249963_at	oligonucleotide	Arabidopsis thaliana	no	AT5G19000	BTB-POZ and MATH domain 1	5	6343457,6343498,6343644,6343725	6344089,6344365,6344460,6344633
249964_at	oligonucleotide	Arabidopsis thaliana	no	AT5G19010	mitogen-activated protein kinase 16	5	6345172,6345382,6345464,6345636	6345719,6345823,6345908,6345933
249965_at	oligonucleotide	Arabidopsis thaliana	no	AT5G19020	mitochondrial editing factor  18	5	6352774	6353360
249966_at	oligonucleotide	Arabidopsis thaliana	no	AT5G19030	RNA-binding (RRM/RBD/RNP motifs) family protein	5	6357774,6357877,6358681	6358749,6358835,6359041
249967_at	oligonucleotide	Arabidopsis thaliana	no	AT5G19050	alpha/beta-Hydrolases superfamily protein	5	6370503,6370527,6370618,6370683,6370822,6370967	6371073,6371181,6371300,6371364,6371579,6371643
249968_at	oligonucleotide	Arabidopsis thaliana	no	AT5G19070	SNARE associated Golgi protein family	5	6376381,6376471,6376597,6376683,6376763,6376879	6376973,6377065,6377146,6377176,6377268,6377386
249969_at	oligonucleotide	Arabidopsis thaliana	no	AT5G19090	Heavy metal transport/detoxification superfamily protein 	5	6389275	6389726
249970_at	oligonucleotide	Arabidopsis thaliana	no	AT5G19100	Eukaryotic aspartyl protease family protein	5	6408263	6408776
249971_at	oligonucleotide	Arabidopsis thaliana	no	AT5G19110	Eukaryotic aspartyl protease family protein	5	6411737,6412082	6412316,6412508
249972_at	oligonucleotide	Arabidopsis thaliana	no	AT5G19040	isopentenyltransferase 5	5	6362444	6362986
249973_at	oligonucleotide	Arabidopsis thaliana	no	AT5G19130	GPI transamidase component family protein / Gaa1-like family protein	5	6416165	6416718
249974_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18780	F-box/RNI-like superfamily protein	5	6265446,6265506,6265587	6265730,6265813,6266076
249975_s_at	oligonucleotide	Arabidopsis thaliana	no	AT3G06320;AT5G18790	[AT3G06320, Ribosomal protein L33 family protein];[AT5G18790, Ribosomal protein L33 family protein]	[AT3G06320, 3];[AT5G18790, 5]	[AT3G06320, 1914953];[AT5G18790, 6266364]	[AT3G06320, 1915076];[AT5G18790, 6266487]
249976_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18810	SC35-like splicing factor 28	5	6270437,6270591,6270802	6270879,6270983,6271155
249977_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18820	TCP-1/cpn60 chaperonin family protein	5	6273361,6273393,6273555	6273758,6273863,6274085
249978_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18850	unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).	5	6286904,6287055	6287133,6287244
249979_s_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18860;AT5G18890	[AT5G18860, inosine-uridine preferring nucleoside hydrolase family protein];[AT5G18890, Inosine-uridine preferring nucleoside hydrolase family protein]	[AT5G18860, 5];[AT5G18890, 5]	[AT5G18860, 6294769,6294769,6294850];[AT5G18890, 6303243,6303243,6303327]	[AT5G18860, 6295155,6295291,6295526];[AT5G18890, 6303629,6303768,6304003]
249980_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18870	Inosine-uridine preferring nucleoside hydrolase family protein	5	6298730,6298835,6299419,6299523	6299875,6300162,6300263,6300287
249981_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18510	Aminotransferase-like, plant mobile domain family protein	5	6141778	6142368
249982_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18520	Lung seven transmembrane receptor family protein	5	6145770	6146334
249983_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18470	Curculin-like (mannose-binding) lectin family protein	5	6128764	6129158
249984_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18400	Cytokine-induced anti-apoptosis inhibitor 1, Fe-S biogenesis	5	6093090,6093160,6093246,6093376,6093454	6093613,6093837,6093932,6094014,6094081
249985_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18500	Protein kinase superfamily protein	5	6140457,6140520,6140624,6140753	6140842,6141054,6141170,6141271
249986_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18460	Protein of Unknown Function (DUF239)	5	6124820,6124823,6124958,6125011	6125728,6125874,6126128,6126395
249987_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18490	Plant protein of unknown function (DUF946)	5	6134338	6134850
249988_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18310	unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G48500.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).	5	6062176,6062261,6062346,6062404	6062524,6062718,6062868,6062911
249989_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18525	protein serine/threonine kinases;protein tyrosine kinases;ATP binding;protein kinases	5	6147055,6147087,6147259,6147394	6147487,6147560,6147636,6147801
249990_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18540	unknown protein; Has 2026 Blast hits to 792 proteins in 129 species: Archae - 2; Bacteria - 12; Metazoa - 1126; Fungi - 267; Plants - 292; Viruses - 0; Other Eukaryotes - 327 (source: NCBI BLink).	5	6153931,6154039,6154128	6154128,6154282,6154282
249991_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18550	Zinc finger C-x8-C-x5-C-x3-H type family protein	5	6162009,6162242	6162370,6162673
249992_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18560	Integrase-type DNA-binding superfamily protein	5	6164868	6165380
249993_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18570	GTP1/OBG family protein	5	6171735,6171937,6172046,6172154	6172241,6172406,6172493,6172661
249994_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18590	Galactose oxidase/kelch repeat superfamily protein	5	6178518,6178596,6178681	6178740,6178826,6179212
249995_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18610	Protein kinase superfamily protein	5	6194778	6195355
249996_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18600	Thioredoxin superfamily protein	5	6183468	6183716
249997_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18620	chromatin remodeling factor17	5	6196371,6196431,6196553,6196768	6196862,6197040,6197152,6197191
249998_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18580	tonneau 2 (TON2)	5	6177181,6177203,6177314,6177415	6177501,6177693,6177968,6178176
249999_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18640	alpha/beta-Hydrolases superfamily protein	5	6214456,6214548,6214642,6214836	6214959,6215050,6215278,6215492
250000_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18650	CHY-type/CTCHY-type/RING-type Zinc finger protein	5	6219005,6219013,6219123,6219200,6219292,6219335,6219429,6219469,6219567	6219649,6219737,6219828,6219933,6220002,6220089,6220130,6220249,6220357
250001_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18680	tubby like protein 11	5	6228393,6228823	6229066,6229113
250002_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18690	arabinogalactan protein 25	5	6233914	6234125
250003_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18710	Domain of unknown function (DUF3444)	5	6242905	6243392
250004_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18750	DNAJ heat shock N-terminal domain-containing protein	5	6257241	6257800
250005_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18760	RING/U-box superfamily protein	5	6258520,6258642,6258747,6258826,6258925	6259015,6259157,6259229,6259325,6259512
250006_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18660	NAD(P)-binding Rossmann-fold superfamily protein	5	6220886	6221433
250007_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18670	beta-amylase 3	5	6227429	6227989
250008_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18630	alpha/beta-Hydrolases superfamily protein	5	6204412,6204495,6204582,6204776	6204937,6205028,6205232,6205448
250009_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18440	CONTAINS InterPro DOMAIN/s: Nuclear fragile X mental retardation-interacting protein 1, conserved region (InterPro:IPR019496); Has 1333 Blast hits to 1211 proteins in 205 species: Archae - 0; Bacteria - 137; Metazoa - 339; Fungi - 162; Plants - 70; Viruses - 6; Other Eukaryotes - 619 (source: NCBI BLink).	5	6114813,6114862	6115242,6115724
250010_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18450	Integrase-type DNA-binding superfamily protein	5	6116228	6116655
250011_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18475	Pentatricopeptide repeat (PPR) superfamily protein	5	6129257	6129774
250012_x_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18060	SAUR-like auxin-responsive protein family 	5	5976058	5976302
250013_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18040	unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G29760.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).	5	5973289,5973622	5973715,5973920
250014_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17990	tryptophan biosynthesis 1	5	5958780,5958926,5959010,5959100,5959179	5959238,5959328,5959446,5959526,5959601
250015_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18070	phosphoglucosamine mutase-related	5	5982289	5982781
250016_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18100	copper/zinc superoxide dismutase 3	5	5987260,5987314,5987410,5987511,5987871,5987966,5988054	5988085,5988222,5988297,5988505,5988558,5988666,5988690
250017_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18140	Chaperone DnaJ-domain superfamily protein	5	5999161	5999638
250018_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18150	Methyltransferase-related protein	5	6000046,6000106	6000194,6000322
250019_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18160	F-box and associated interaction domains-containing protein	5	6003368	6003835
250020_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18180	H/ACA ribonucleoprotein complex, subunit Gar1/Naf1 protein	5	6008565,6008726,6008846,6008961	6009049,6009197,6009467,6009487
250021_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18190	Protein kinase family protein	5	6010274,6010274,6010366,6010554,6010645	6010802,6010937,6011027,6011099,6011181
250022_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18210	NAD(P)-binding Rossmann-fold superfamily protein	5	6018074,6018238	6018324,6018633
250023_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18220	O-Glycosyl hydrolases family 17 protein	5	6018938	6019478
250024_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18270	Arabidopsis NAC domain containing protein 87	5	6041243,6041765	6042022,6042049
250025_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18290	Aquaporin-like superfamily protein	5	6055228,6055356,6055457	6055732,6056111,6056251
250026_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18090	AP2/B3-like transcriptional factor family protein	5	5986139,5986222,5986327	5986607,5986692,5986902
250027_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18250	unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G04040.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).	5	6033798,6033865,6033978,6034028,6034256,6034307	6034709,6034767,6034924,6034969,6035092,6035216
250028_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18130	unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G03870.2); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).	5	5995900,5996359	5997049,5997130
250029_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18200	UTP:galactose-1-phosphate uridylyltransferases;ribose-5-phosphate adenylyltransferases	5	6015955,6016215	6016298,6016521
250030_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18120	APR-like 7	5	5992473,5992527,5993022	5993146,5993296,5993667
250031_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18240	myb-related protein 1	5	6028643	6029213
250032_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18170	glutamate dehydrogenase 1	5	6007414,6007651,6007733,6007808	6007882,6007968,6008063,6008239
250033_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18110	novel cap-binding protein	5	5989121,5989236,5989322,5989441,5989600,5989677	5989823,5989927,5990018,5990110,5990451,5990514
250034_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18280	apyrase 2	5	6050824,6050911,6051128,6051317	6051412,6051629,6051815,6051891
250035_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18230	transcription regulator NOT2/NOT3/NOT5 family protein	5	6021803,6021950,6022047	6022181,6022253,6022465
250036_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18340	ARM repeat superfamily protein	5	6070803	6071171
250037_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18350	Disease resistance protein (TIR-NBS-LRR class) family	5	6074843	6075200
250038_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18360	Disease resistance protein (TIR-NBS-LRR class) family	5	6080101	6080581
250039_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18370	Disease resistance protein (TIR-NBS-LRR class) family	5	6085040	6085555
250040_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18390	Pentatricopeptide repeat (PPR) superfamily protein	5	6091745	6092237
250041_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18410	transcription activators	5	6097462,6097656,6097752	6097958,6098060,6098181
250042_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18420	unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF2363 (InterPro:IPR019312); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).	5	6105652,6105738,6105905,6105986,6106200,6106341	6106427,6106500,6106576,6106647,6107059,6107083
250043_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18430	GDSL-like Lipase/Acylhydrolase superfamily protein	5	6110410,6110583,6110668	6110923,6111101,6111254
250044_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17680	disease resistance protein (TIR-NBS-LRR class), putative	5	5826554	5827127
250045_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17700	MATE efflux family protein	5	5831044,5831120,5831201,5831287,5831385,5831503	5831608,5831846,5831960,5832016,5832091,5832122
250046_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17720	alpha/beta-Hydrolases superfamily protein	5	5846759,5846812,5846906	5847102,5847320,5847564
250047_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17730	P-loop containing nucleoside triphosphate hydrolases superfamily protein	5	5852604,5852938	5853028,5853177
250048_s_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17750;AT5G17740	[AT5G17750, P-loop containing nucleoside triphosphate hydrolases superfamily protein];[AT5G17740, P-loop containing nucleoside triphosphate hydrolases superfamily protein]	[AT5G17750, 5];[AT5G17740, 5]	[AT5G17750, 5859123];[AT5G17740, 5857032]	[AT5G17750, 5859257];[AT5G17740, 5857166]
250049_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17780	alpha/beta-Hydrolases superfamily protein	5	5867526,5867744,5867833	5868020,5868116,5868191
250050_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17790	zinc finger (Ran-binding) family protein	5	5869820	5870399
250051_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17800	myb domain protein 56	5	5877993,5878337	5878908,5878999
250052_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17830	Plasma-membrane choline transporter family protein	5	5894686,5895085	5895176,5895292
250053_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17850	Sodium/calcium exchanger family protein	5	5900365	5900900
250054_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17860	calcium exchanger 7	5	5902651	5903221
250055_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17770	NADH:cytochrome B5 reductase 1	5	5864557,5864635,5864838,5864924,5865041,5865106,5865217	5865306,5865390,5865470,5865583,5865660,5865753,5865820
250056_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17660	tRNA (guanine-N-7) methyltransferase	5	5818833,5819002,5819096,5819194,5819304,5819388	5819482,5819531,5819654,5819733,5820110,5820150
250057_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17840	DnaJ/Hsp40 cysteine-rich domain superfamily protein	5	5895880,5895943,5896024	5896285,5896918,5897055
250058_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17870	plastid-specific 50S ribosomal protein 6	5	5907821	5908121
250059_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17820	Peroxidase superfamily protein	5	5888292,5888480	5888908,5889220
250060_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17690	like heterochromatin protein (LHP1)	5	5827507,5827551,5827640	5827700,5827783,5828236
250061_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17710	Co-chaperone GrpE family protein	5	5839583,5839772	5840310,5840626
250062_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17760	P-loop containing nucleoside triphosphate hydrolases superfamily protein	5	5861296	5861774
250063_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17880	disease resistance protein (TIR-NBS-LRR class)	5	5908891,5908935	5909072,5909526
250064_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17890	DA1-related protein 4	5	5922385,5922400,5922481,5922599	5922674,5922732,5922814,5923144
250065_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17910	unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrion; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 15 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G29620.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).	5	5931709	5932239
250066_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17930	MIF4G domain-containing protein / MA3 domain-containing protein	5	5940259,5940514	5940604,5940785
250067_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17950	unknown protein; Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).	5	5944577,5944842	5944887,5944957
250068_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17960	Cysteine/Histidine-rich C1 domain family protein	5	5945677	5946214
250069_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17970	Disease resistance protein (TIR-NBS-LRR class) family	5	5949020,5949439	5949530,5949685
250070_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17980	C2 calcium/lipid-binding plant phosphoribosyltransferase family protein	5	5956182	5956722
250071_at	oligonucleotide	Arabidopsis thaliana	no	AT5G18000	VERDANDI	5	5960074,5960307	5960398,5960614
250072_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17210	Protein of unknown function (DUF1218)	5	5656569,5656614,5657343	5657554,5657649,5657908
250073_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17170	rubredoxin family protein	5	5649741,5649794,5649887,5650053,5650435	5650516,5650624,5650692,5650805,5650972
250074_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17310	UDP-glucose pyrophosphorylase 2	5	5697081,5697246,5697342,5697440,5697533,5697616	5697702,5697758,5697836,5697911,5697999,5698021
250075_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17670	alpha/beta-Hydrolases superfamily protein	5	5821884,5821965,5822058	5822180,5822252,5822592
250076_at	oligonucleotide	Arabidopsis thaliana	no	AT5G16660	unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast thylakoid membrane, chloroplast, membrane, chloroplast envelope; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G02900.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).	5	5465701,5465929,5466239	5466335,5466415,5466448
250077_at	oligonucleotide	Arabidopsis thaliana	no	AT5G16680	RING/FYVE/PHD zinc finger superfamily protein	5	5467541	5468099
250078_at	oligonucleotide	Arabidopsis thaliana	no	AT5G16690	origin recognition complex subunit 3	5	5476210,5476243,5476544,5476617,5476793,5476883,5477324,5477496	5477785,5477854,5478116,5478201,5478477,5478566,5478731,5478767
250079_at	oligonucleotide	Arabidopsis thaliana	no	AT5G16650	Chaperone DnaJ-domain superfamily protein	5	5463576,5463617,5463739,5463812,5463928,5464001	5464515,5464590,5464688,5464765,5465046,5465063
250080_at	oligonucleotide	Arabidopsis thaliana	no	AT5G16620	hydroxyproline-rich glycoprotein family protein	5	5452545,5452592,5452700,5452763,5453126,5453210,5453316,5453356,5453541	5453586,5453693,5453787,5453869,5453972,5454073,5454120,5454203,5454253
250081_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17180	unknown protein; Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).	5	5651519	5651802
250082_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17200	Pectin lyase-like superfamily protein	5	5653576,5653928,5654036	5654144,5654239,5654319
250083_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17220	glutathione S-transferase phi 12	5	5658788,5658788	5658874,5659319
250084_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17240	SET domain group 40	5	5668273	5668646
250085_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17250	Alkaline-phosphatase-like family protein	5	5669003,5669088,5669169,5669252,5669342	5669498,5669578,5669758,5669865,5669944
250086_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17260	NAC domain containing protein 86	5	5675403,5675705,5675804	5675873,5675977,5676122
250087_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17270	Protein prenylyltransferase superfamily protein	5	5684711,5684901,5685037,5685153	5685237,5685389,5685484,5685508
250088_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17290	autophagy protein Apg5 family	5	5687174,5687422,5687565,5687696	5687982,5688125,5688347,5688372
250089_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17320	homeodomain GLABROUS 9	5	5703455,5703742,5704015	5704104,5704210,5704295
250090_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17330	glutamate decarboxylase	5	5714088,5714124,5714208	5714383,5714521,5714690
250091_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17340	Putative membrane lipoprotein	5	5715755	5716199
250092_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17360	BEST Arabidopsis thaliana protein match is: DNA LIGASE 6 (TAIR:AT1G66730.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).	5	5720633	5721131
250093_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17370	Transducin/WD40 repeat-like superfamily protein	5	5721834,5721877,5721974,5722084,5722196,5722319,5722394	5722451,5722538,5722628,5722694,5722868,5723057,5723116
250094_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17380	Thiamine pyrophosphate dependent pyruvate decarboxylase family protein	5	5724986,5725234	5725317,5725561
250095_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17230	PHYTOENE SYNTHASE	5	5659885,5660009,5660107	5660299,5660448,5660618
250096_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17190	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: intracellular protein transport; LOCATED IN: endomembrane system, integral to membrane, endoplasmic reticulum; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: B-cell receptor-associated 31-like (InterPro:IPR008417); BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G03160.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).	5	5652310	5652641
250097_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17280	CONTAINS InterPro DOMAIN/s: Oxidoreductase-like, N-terminal (InterPro:IPR019180); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).	5	5686370	5686702
250098_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17350	unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: N-terminal protein myristoylation; LOCATED IN: cellular_component unknown; EXPRESSED IN: 15 plant structures; EXPRESSED DURING: 8 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G03280.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).	5	5718857	5719227
250099_at	oligonucleotide	Arabidopsis thaliana	no	AT5G17300	Homeodomain-like superfamily protein	5	5690437	5690859
